# train-data:mnist-train.csv.cut
#  test-data:mnist-test.csv.cut
#      input:784
#     hidden:300
#     outNum:10
# test data
1 0.9459
2 0.9562
3 0.9604
4 0.9631
5 0.9675
6 0.9695
7 0.9702
8 0.971
9 0.9722
10 0.9716
11 0.9721
12 0.9733
13 0.9726
14 0.9736
15 0.9736
16 0.9739
17 0.9737
18 0.9745
19 0.9755
20 0.9747
21 0.9748
22 0.9755
23 0.9758
24 0.9756
25 0.9754
26 0.9764
27 0.9762
28 0.9757
29 0.9759
30 0.9762


# valid data
1 0.9459
2 0.9562
3 0.9604
4 0.9631
5 0.9675
6 0.9695
7 0.9702
8 0.971
9 0.9722
10 0.9716
11 0.9721
12 0.9733
13 0.9726
14 0.9736
15 0.9736
16 0.9739
17 0.9737
18 0.9745
19 0.9755
20 0.9747
21 0.9748
22 0.9755
23 0.9758
24 0.9756
25 0.9754
26 0.9764
27 0.9762
28 0.9757
29 0.9759
30 0.9762


# train data
1 0.9439833333333333
2 0.9564166666666667
3 0.9635833333333333
4 0.9683833333333334
5 0.9716
6 0.9741333333333333
7 0.9756333333333334
8 0.9773166666666666
9 0.97905
10 0.98035
11 0.9811833333333333
12 0.9819333333333333
13 0.9829333333333333
14 0.9837
15 0.9842166666666666
16 0.9848666666666667
17 0.9855166666666667
18 0.98625
19 0.9867666666666667
20 0.987
21 0.9871333333333333
22 0.9878833333333333
23 0.9880333333333333
24 0.9880833333333333
25 0.9885666666666667
26 0.9890333333333333
27 0.9895666666666667
28 0.99005
29 0.9898
30 0.9902
