# train-data:mnist-train.csv.cut
#  test-data:mnist-test.csv.cut
#      input:784
#     hidden:300
#     outNum:10
# test data
1 0.9435
2 0.9574
3 0.96
4 0.9616
5 0.9636
6 0.9643
7 0.9657
8 0.9673
9 0.9689
10 0.9703
11 0.9706
12 0.9709
13 0.9712
14 0.9711
15 0.9714
16 0.972
17 0.9723
18 0.9728
19 0.9729
20 0.9732
21 0.9736
22 0.9739
23 0.9741
24 0.974
25 0.9741
26 0.9742
27 0.9746
28 0.9749
29 0.975
30 0.9751


# valid data
1 0.9435
2 0.9574
3 0.96
4 0.9616
5 0.9636
6 0.9643
7 0.9657
8 0.9673
9 0.9689
10 0.9703
11 0.9706
12 0.9709
13 0.9712
14 0.9711
15 0.9714
16 0.972
17 0.9723
18 0.9728
19 0.9729
20 0.9732
21 0.9736
22 0.9739
23 0.9741
24 0.974
25 0.9741
26 0.9742
27 0.9746
28 0.9749
29 0.975
30 0.9751


# train data
1 0.94555
2 0.9605833333333333
3 0.9665666666666667
4 0.9701166666666666
5 0.97315
6 0.9757666666666667
7 0.9775833333333334
8 0.9797166666666667
9 0.9815833333333334
10 0.98305
11 0.98455
12 0.9854166666666667
13 0.9863
14 0.9870833333333333
15 0.9877333333333334
16 0.9885166666666667
17 0.98925
18 0.99
19 0.9907333333333334
20 0.9913333333333333
21 0.992
22 0.9928
23 0.9935833333333334
24 0.9941166666666666
25 0.9944666666666667
26 0.9950166666666667
27 0.9953833333333333
28 0.9958333333333333
29 0.9962166666666666
30 0.9965666666666667
